Image,Quality_Score
11485_JulieAndrews_38_f.jpg,0.9999999
6796_RoyScheider_41_m.jpg,0.00093007943
5356_JohnDerek_46_m.jpg,0.99999774
12383_UrsulaAndress_30_f.jpg,0.998611
7328_LinoVentura_62_m.jpg,0.9999821
10877_TippiHedren_22_f.jpg,1.0
4945_StevenBerkoff_63_m.jpg,0.8839614
7398_LyleTalbot_92_m.jpg,0.9919559
15297_EdwigeFenech_23_f.jpg,1.0
3784_SeanConnery_78_m.jpg,1.0
4024_CharlieSheen_25_m.jpg,1.0
10511_FayeDunaway_37_f.jpg,0.9999682
4550_Fernandel_29_m.jpg,0.999998
13615_JessicaTandy_48_f.jpg,0.72820646
556_MargaretThatcher_82_f.jpg,0.9934136
14850_SimoneSignoret_50_f.jpg,0.9990163
1492_GabrielGarciaMarquez_24_m.jpg,1.0
10891_TippiHedren_65_f.jpg,0.6132254
14938_MerkouriMelina_38_f.jpg,0.9932854
2552_GaryOldman_37_m.jpg,0.99999785
15622_KateOMara_71_f.jpg,0.12855925
3582_MichaelYork_53_m.jpg,0.99999905
6794_RoyScheider_41_m.jpg,0.9999999
152_PaulmcCartney_26_m.jpg,1.0
13598_JeanPeters_36_f.jpg,0.99999976
2052_JonVoight_35_m.jpg,0.99936074
4777_MichelPiccoli_81_m.jpg,0.44221985
3226_GeneHackman_80_m.jpg,0.9554197
15743_MaryTamm_44_f.jpg,0.99982506
4263_KevinCostner_31_m.jpg,0.9910746
10750_MerylStreep_64_f.jpg,0.71737885
1348_Soljenitsyne_57_m.jpg,0.9880073
5924_JackLarson_23_m.jpg,1.0
14628_BarbaraStanwyck_18_f.jpg,0.9986987
7882_FredAstaire_82_m.jpg,1.0
11558_LaurenBacall_42_f.jpg,0.35360366
8428_VictorMature_65_m.jpg,1.0
7906_GeorgePeppard_29_m.jpg,1.0
8300_RichardChamberlain_73_m.jpg,0.53053063
16383_Houston_22_f.jpg,0.99994946
8616_FrankSinatra_42_m.jpg,0.9954058
14844_SimoneSignoret_48_f.jpg,1.0
13237_RoyScheider_74_f.jpg,1.0
6011_JohnHuston_68_m.jpg,1.0
15724_MargaretNolan_70_f.jpg,1.0
10367_AnitaEkberg_75_f.jpg,0.9999995
6320_FernandoRey_59_m.jpg,0.99886024
4732_MichelPiccoli_30_m.jpg,0.99995327
8054_HorstBuchholz_45_m.jpg,1.0
546_angelamerkel_51_f.jpg,0.22963211
6281_ErrolFlynn_30_m.jpg,1.0
2489_ClaudeRich_75_m.jpg,0.99307466
11531_LaurenBacall_28_f.jpg,0.8022602
14671_ClaudetteColbert_40_f.jpg,0.99999964
15620_KateOMara_69_f.jpg,1.0
13489_GladysCooper_16_f.jpg,0.9999993
874_WinstonChurchill_65_m.jpg,0.97340924
6768_RockHudson_44_m.jpg,0.99961805
15259_DyanCannon_38_f.jpg,0.39055222
1530_Bono_24_m.jpg,0.9999999
15607_KateOMara_51_f.jpg,0.998428
6819_StevenSpielberg_45_m.jpg,0.9999335
8390_SpencerTracy_33_m.jpg,0.9999702
10817_PeggyLipton_57_f.jpg,0.059411474
7284_LeifErickson_40_m.jpg,1.0
4083_ClintWalker_79_m.jpg,1.0
2533_DonJohnson_61_m.jpg,0.9109543
15278_DyanCannon_69_f.jpg,0.8495402
1105_CharlesDarwin_60_m.jpg,0.9999994
12206_ImeldaStaunton_47_f.jpg,1.0
13292_AmandaRedman_50_f.jpg,0.9999832
7540_RobertMorley_61_m.jpg,1.0
14694_ElizabethTaylor_77_f.jpg,0.62636316
9012_HumphreyBogard_40_m.jpg,0.99808466
1724_TimCurry_26_m.jpg,0.9083443
1586_IanHolm_72_m.jpg,0.99999774
5551_PatrickStewart_11_m.jpg,0.9999995
13175_JoanLorring_27_f.jpg,0.0008692414
12387_UrsulaAndress_37_f.jpg,0.9999883
1873_AlanYoung_30_m.jpg,0.9424894
3773_RutgerHauer_59_m.jpg,0.76616544
7306_LinoVentura_37_m.jpg,0.99732685
8347_SimonMacCorkindale_24_m.jpg,0.99956685
1158_FrederickSanger_79_m.jpg,1.0
15551_JulieHagerty_24_f.jpg,1.0
9358_GregoryPeck_39_m.jpg,0.9995511
8921_ErnestBorgnine_54_m.jpg,1.0
3563_MichaelYork_29_m.jpg,1.0
8141_LorneGreene_43_m.jpg,0.9999212
14028_GreerGarson_54_f.jpg,0.11709937
10372_AnnMargret_23_f.jpg,0.9999937
3441_KevinSpacey_54_m.jpg,0.9992501
8516_CharlesBronson_40_m.jpg,0.9999999
3215_EliWallach_91_m.jpg,1.0
11589_MargeChampion_19_f.jpg,0.9991487
1973_JamesBest_85_m.jpg,1.0
5066_AnthonyHopkins_31_m.jpg,0.9999975
914_TheodoreRoosevelt_20_m.jpg,0.00514541
7631_TellySavalas_58_m.jpg,1.0
7624_TellySavalas_51_m.jpg,0.009381656
9281_BurtLancaster_48_m.jpg,0.9964361
9481_MaximilianShell_51_m.jpg,0.6902658
9773_TomJones_59_f.jpg,0.9913658
13451_DanielleDarrieux_93_f.jpg,0.99999976
670_TonyBlair_44_m.jpg,0.99999833
6641_MelFerrer_63_m.jpg,0.9891216
9333_GeorgesMarchal_22_m.jpg,0.9999994
14930_MerkouriMelina_68_f.jpg,0.9999387
3347_JeffBridges_61_m.jpg,0.9992409
14000_GloriaSwanson_69_f.jpg,0.033771623
9783_TomJones_69_f.jpg,0.9545085
363_JPMorgan_52_m.jpg,0.94957197
7761_AlbertoSordi_38_m.jpg,0.9998099
13200_MichellePfeiffer_32_f.jpg,0.9999999
5280_JackNicolson_34_m.jpg,0.9582519
14623_YvonneDeCarlo_68_f.jpg,0.9999989
15499_JeanetteMacDonald_40_f.jpg,0.00023826624
7163_JohnGarfield_26_m.jpg,0.99999654
7871_ChristopherPlummer_56_m.jpg,0.9999893
7270_KrisKristofferson_78_m.jpg,1.0
12576_DonnaReed_28_f.jpg,0.30454797
8296_RichardChamberlain_66_m.jpg,0.95095
14855_SimoneSignoret_48_f.jpg,0.9999361
12074_ElsaMartinelli_59_f.jpg,0.99999726
7858_ChristopherPlummer_35_m.jpg,1.0
15668_KathrynGrayson_24_f.jpg,0.9989182
6432_JoanLorring_20_m.jpg,0.0004488294
13457_GingerRogers_19_f.jpg,0.999884
11143_JuneLockhart_83_f.jpg,0.99988043
6259_DirkBogarde_62_m.jpg,0.99999917
7788_AndyGriffith_34_m.jpg,0.9998908
5690_RoyRogers_25_m.jpg,0.9999298
7424_MickeyRooney_47_m.jpg,0.9999827
2253_RodTaylor_24_m.jpg,0.99942243
11058_JeanneMoreau_41_f.jpg,0.9999945
6282_ErrolFlynn_33_m.jpg,1.0
12646_IsabelleHuppert_24_f.jpg,0.9999877
14400_MaryPickford_35_f.jpg,1.0
10431_BarbaraBain_73_f.jpg,0.23604873
11197_MonicaVitti_30_f.jpg,0.01859168
12146_FrancescaAnnis_41_f.jpg,0.99999905
8703_MurrayHamilton_50_m.jpg,0.99730587
14033_GreerGarson_56_f.jpg,0.99990666
15744_MaryTamm_46_f.jpg,0.9139089
4715_KostasVoutsas_33_m.jpg,1.0
3646_OmarSharif_40_m.jpg,1.0
6584_LexBarker_37_m.jpg,0.9999988
3403_JohnLithgow_65_m.jpg,0.4522179
14105_RomySchneider_39_f.jpg,0.54144746
1566_IanHolm_46_m.jpg,1.0
5625_PeterFalk_79_m.jpg,0.7465594
14713_MarleneDietrich_29_f.jpg,0.9999994
6242_DirkBogarde_40_m.jpg,0.9999651
16271_campbell_19_f.jpg,0.9999976
7149_JeanPaulBelmondo_63_m.jpg,1.0
8057_HorstBuchholz_57_m.jpg,1.0
13696_NormaShearer_33_f.jpg,1.0
9109_MarlonBrando_49_m.jpg,0.9989724
5750_TommyLeeJones_53_m.jpg,1.0
13266_ShirleyMacLaine_19_f.jpg,1.0
5132_ArmandAssante_48_m.jpg,1.0
13529_HelenHayes_56_f.jpg,0.9951149
8831_ArnoldSchwarzenegger_39_m.jpg,0.041549824
3818_StacyKeach_54_m.jpg,0.068774566
15417_JanePowell_80_f.jpg,0.44981557
4055_ClintWalker_32_m.jpg,0.999998
3989_BurtReynolds_50_m.jpg,0.9999964
864_mahatmagandhi_68_m.jpg,0.99405354
8242_ReginaldOwen_46_m.jpg,1.0
