Image_Path,Quality_Score
11815_AnjelicaHuston_34_f.jpg,0.44603363
8552_CliffRobertson_37_m.jpg,0.46592978
8732_RichardAttenborough_32_m.jpg,0.2856752
13697_NormaShearer_37_f.jpg,0.36902496
11218_PiaLindstrom_22_f.jpg,0.37446764
3002_WoodyAllen_75_m.jpg,0.37254685
7973_GilbertRoland_46_m.jpg,0.44562587
9944_AliMacGraw_73_f.jpg,0.7426431
3070_BruceWillis_31_m.jpg,0.60760456
9738_DorisDay_66_f.jpg,0.93395
15516_JeanetteMacDonald_61_f.jpg,0.77301544
6865_ThomasTerry_58_m.jpg,0.47544375
2504_DonJohnson_26_m.jpg,0.6021555
8327_RichardCrenna_48_m.jpg,0.58654463
13778_RitaHayworth_29_f.jpg,0.35150072
1897_AlanYoung_89_m.jpg,0.62152743
11815_AnjelicaHuston_34_f.jpg,0.40785024
8552_CliffRobertson_37_m.jpg,0.3324627
8732_RichardAttenborough_32_m.jpg,0.41901705
13697_NormaShearer_37_f.jpg,0.5459529
11218_PiaLindstrom_22_f.jpg,0.42049524
3002_WoodyAllen_75_m.jpg,0.42420036
7973_GilbertRoland_46_m.jpg,0.42559576
9944_AliMacGraw_73_f.jpg,0.30156928
3070_BruceWillis_31_m.jpg,0.7406398
9738_DorisDay_66_f.jpg,0.47993544
15516_JeanetteMacDonald_61_f.jpg,0.30237046
6865_ThomasTerry_58_m.jpg,0.32848242
2504_DonJohnson_26_m.jpg,0.4924476
8327_RichardCrenna_48_m.jpg,0.3435925
13778_RitaHayworth_29_f.jpg,0.56533
1897_AlanYoung_89_m.jpg,0.32701364
11815_AnjelicaHuston_34_f.jpg,0.344867
8552_CliffRobertson_37_m.jpg,0.39014235
8732_RichardAttenborough_32_m.jpg,0.37709907
13697_NormaShearer_37_f.jpg,0.3930323
11218_PiaLindstrom_22_f.jpg,0.57793814
3002_WoodyAllen_75_m.jpg,0.26354617
7973_GilbertRoland_46_m.jpg,0.75345695
9944_AliMacGraw_73_f.jpg,0.3501594
3070_BruceWillis_31_m.jpg,0.39209002
9738_DorisDay_66_f.jpg,0.34127045
15516_JeanetteMacDonald_61_f.jpg,0.76391023
6865_ThomasTerry_58_m.jpg,0.40838802
2504_DonJohnson_26_m.jpg,0.36592653
