image_name,emotion,age
0_MariaCallas_35_f.jpg,sad,35
10000_GlennClose_62_f.jpg,happy,62
10001_GoldieHawn_23_f.jpg,happy,23
10002_GoldieHawn_24_f.jpg,happy,24
10003_GoldieHawn_24_f.jpg,happy,24
10004_GoldieHawn_27_f.jpg,neutral,27
10005_GoldieHawn_28_f.jpg,fear,28
10006_GoldieHawn_29_f.jpg,happy,29
10007_GoldieHawn_30_f.jpg,fear,30
10008_GoldieHawn_31_f.jpg,sad,31
10009_GoldieHawn_35_f.jpg,fear,35
1000_StephenHawking_1_m.jpg,sad,1
10010_GoldieHawn_35_f.jpg,neutral,35
10011_GoldieHawn_37_f.jpg,fear,37
10012_GoldieHawn_39_f.jpg,sad,39
10013_GoldieHawn_44_f.jpg,sad,44
10014_GoldieHawn_45_f.jpg,sad,45
10015_GoldieHawn_45_f.jpg,fear,45
10016_GoldieHawn_50_f.jpg,fear,50
10017_GoldieHawn_51_f.jpg,fear,51
10018_GoldieHawn_51_f.jpg,fear,51
10019_GoldieHawn_52_f.jpg,fear,52
1001_StephenHawking_3_m.jpg,happy,3
10020_GoldieHawn_53_f.jpg,fear,53
10021_GoldieHawn_57_f.jpg,happy,57
10022_GoldieHawn_59_f.jpg,happy,59
10023_GoldieHawn_60_f.jpg,happy,60
10024_GoldieHawn_62_f.jpg,happy,62
10025_GoldieHawn_64_f.jpg,happy,64
10026_GoldieHawn_65_f.jpg,happy,65
10027_HelenHunt_10_f.jpg,sad,10
10028_HelenHunt_11_f.jpg,happy,11
10029_HelenHunt_12_f.jpg,happy,12
1002_StephenHawking_15_m.jpg,angry,15
10030_HelenHunt_13_f.jpg,sad,13
10031_HelenHunt_14_f.jpg,neutral,14
10032_HelenHunt_15_f.jpg,happy,15
10033_HelenHunt_18_f.jpg,happy,18
10034_HelenHunt_19_f.jpg,happy,19
10035_HelenHunt_20_f.jpg,fear,20
10036_HelenHunt_21_f.jpg,happy,21
10037_HelenHunt_22_f.jpg,sad,22
10038_HelenHunt_24_f.jpg,neutral,24
10039_HelenHunt_26_f.jpg,happy,26
1003_StephenHawking_21_m.jpg,fear,21
10040_HelenHunt_27_f.jpg,happy,27
10041_HelenHunt_28_f.jpg,fear,28
10042_HelenHunt_29_f.jpg,happy,29
10043_HelenHunt_30_f.jpg,neutral,30
10044_HelenHunt_32_f.jpg,happy,32
10045_HelenHunt_33_f.jpg,happy,33
10046_HelenHunt_34_f.jpg,neutral,34
10047_HelenHunt_34_f.jpg,angry,34
10048_HelenHunt_35_f.jpg,happy,35
10049_HelenHunt_36_f.jpg,happy,36
1004_StephenHawking_43_m.jpg,happy,43
10050_HelenHunt_37_f.jpg,happy,37
10051_HelenHunt_37_f.jpg,happy,37
10052_HelenHunt_38_f.jpg,happy,38
10053_HelenHunt_39_f.jpg,happy,39
10054_HelenHunt_41_f.jpg,happy,41
10055_HelenHunt_42_f.jpg,happy,42
10056_HelenHunt_43_f.jpg,happy,43
10057_HelenHunt_44_f.jpg,happy,44
10058_HelenHunt_45_f.jpg,happy,45
10059_HelenHunt_47_f.jpg,happy,47
1005_StephenHawking_23_m.jpg,happy,23
10060_HelenHunt_48_f.jpg,happy,48
10061_HelenHunt_49_f.jpg,happy,49
10062_HelenHunt_50_f.jpg,happy,50
10063_HelenHunt_50_f.jpg,happy,50
10064_HelenHunt_51_f.jpg,happy,51
10065_JaneBirkin_19_f.jpg,neutral,19
10066_JaneBirkin_19_f.jpg,neutral,19
10067_JaneBirkin_20_f.jpg,neutral,20
10068_JaneBirkin_21_f.jpg,neutral,21
10069_JaneBirkin_23_f.jpg,fear,23
1006_StephenHawking_36_m.jpg,happy,36
10070_JaneBirkin_24_f.jpg,fear,24
10071_JaneBirkin_25_f.jpg,fear,25
10072_JaneBirkin_27_f.jpg,fear,27
10073_JaneBirkin_28_f.jpg,neutral,28
10074_JaneBirkin_29_f.jpg,sad,29
10075_JaneBirkin_30_f.jpg,neutral,30
10076_JaneBirkin_31_f.jpg,happy,31
10077_JaneBirkin_32_f.jpg,neutral,32
10078_JaneBirkin_33_f.jpg,neutral,33
10079_JaneBirkin_35_f.jpg,sad,35
1007_StephenHawking_43_m.jpg,sad,43
10080_JaneBirkin_36_f.jpg,fear,36
10081_JaneBirkin_37_f.jpg,fear,37
10082_JaneBirkin_38_f.jpg,happy,38
10083_JaneBirkin_39_f.jpg,sad,39
10084_JaneBirkin_39_f.jpg,sad,39
10085_JaneBirkin_40_f.jpg,neutral,40
10086_JaneBirkin_41_f.jpg,neutral,41
10087_JaneBirkin_42_f.jpg,neutral,42
10088_JaneBirkin_44_f.jpg,neutral,44
10089_JaneBirkin_46_f.jpg,neutral,46
1008_StephenHawking_43_m.jpg,neutral,43
10090_JaneBirkin_47_f.jpg,neutral,47
10091_JaneBirkin_48_f.jpg,angry,48
10092_JaneBirkin_49_f.jpg,neutral,49
10093_JaneBirkin_50_f.jpg,happy,50
10094_JaneBirkin_52_f.jpg,happy,52
10095_JaneBirkin_53_f.jpg,happy,53
10096_JaneBirkin_55_f.jpg,happy,55
10097_JaneBirkin_56_f.jpg,happy,56
10098_JaneBirkin_58_f.jpg,neutral,58
10099_JaneBirkin_60_f.jpg,happy,60
1009_StephenHawking_46_m.jpg,happy,46
100_PaulAnka_52_m.jpg,happy,52
10100_JaneBirkin_63_f.jpg,happy,63
10101_JaneBirkin_64_f.jpg,happy,64
10102_JaneBirkin_67_f.jpg,fear,67
10103_JaneBirkin_68_f.jpg,neutral,68
10104_JaneFonda_59_f.jpg,happy,59
10105_JaneFonda_55_f.jpg,happy,55
10106_JaneFonda_25_f.jpg,neutral,25
10107_JaneFonda_25_f.jpg,happy,25
10108_JaneFonda_26_f.jpg,neutral,26
10109_JaneFonda_27_f.jpg,neutral,27
1010_StephenHawking_62_m.jpg,happy,62
10110_JaneFonda_28_f.jpg,sad,28
10111_JaneFonda_29_f.jpg,happy,29
10112_JaneFonda_30_f.jpg,neutral,30
10113_JaneFonda_31_f.jpg,neutral,31
10114_JaneFonda_33_f.jpg,happy,33
10115_JaneFonda_34_f.jpg,neutral,34
10116_JaneFonda_35_f.jpg,neutral,35
10117_JaneFonda_38_f.jpg,happy,38
10118_JaneFonda_39_f.jpg,neutral,39
10119_JaneFonda_40_f.jpg,happy,40
1011_StephenHawking_64_m.jpg,angry,64
10120_JaneFonda_41_f.jpg,happy,41
10121_JaneFonda_43_f.jpg,happy,43
10122_JaneFonda_49_f.jpg,neutral,49
10123_JaneFonda_53_f.jpg,happy,53
10124_JaneFonda_57_f.jpg,happy,57
10125_JaneFonda_62_f.jpg,happy,62
10126_JaneFonda_66_f.jpg,fear,66
10127_JaneFonda_68_f.jpg,happy,68
10128_JaneFonda_69_f.jpg,happy,69
10129_JaneFonda_70_f.jpg,happy,70
1012_StephenHawking_67_m.jpg,sad,67
10130_JaneFonda_71_f.jpg,happy,71
10131_JaneFonda_72_f.jpg,happy,72
10132_JaneFonda_74_f.jpg,happy,74
10133_JaneFonda_60_f.jpg,happy,60
10134_JoanCusack_18_f.jpg,fear,18
10135_JoanCusack_21_f.jpg,happy,21
10136_JoanCusack_22_f.jpg,neutral,22
10137_JoanCusack_23_f.jpg,happy,23
10138_JoanCusack_24_f.jpg,happy,24
10139_JoanCusack_25_f.jpg,neutral,25
1013_StephenHawking_67_m.jpg,sad,67
10140_JoanCusack_26_f.jpg,neutral,26
10141_JoanCusack_27_f.jpg,fear,27
10142_JoanCusack_28_f.jpg,sad,28
10143_JoanCusack_29_f.jpg,fear,29
10144_JoanCusack_31_f.jpg,fear,31
10145_JoanCusack_32_f.jpg,happy,32
10146_JoanCusack_33_f.jpg,sad,33
10147_JoanCusack_34_f.jpg,happy,34
10148_JoanCusack_35_f.jpg,happy,35
10149_JoanCusack_36_f.jpg,fear,36
1014_StephenHawking_67_m.jpg,neutral,67
10150_JoanCusack_37_f.jpg,surprise,37
10151_JoanCusack_37_f.jpg,happy,37
10152_JoanCusack_39_f.jpg,happy,39
10153_JoanCusack_40_f.jpg,happy,40
10154_JoanCusack_41_f.jpg,happy,41
10155_JoanCusack_42_f.jpg,happy,42
10156_JoanCusack_43_f.jpg,happy,43
10157_JoanCusack_45_f.jpg,happy,45
10158_JoanCusack_46_f.jpg,neutral,46
10159_JoanCusack_47_f.jpg,happy,47
1015_StephenHawking_40_m.jpg,neutral,40
10160_JoanCusack_49_f.jpg,neutral,49
10161_JoanCusack_50_f.jpg,neutral,50
10162_JoanCusack_50_f.jpg,angry,50
10163_JoanLeslie_13_f.jpg,angry,13
10164_JoanLeslie_16_f.jpg,neutral,16
10165_JoanLeslie_17_f.jpg,neutral,17
10166_JoanLeslie_19_f.jpg,angry,19
10167_JoanLeslie_21_f.jpg,neutral,21
10168_JoanLeslie_22_f.jpg,neutral,22
10169_JoanLeslie_23_f.jpg,sad,23
1016_StephenHawking_53_m.jpg,sad,53
10170_JoanLeslie_25_f.jpg,neutral,25
10171_JoanLeslie_26_f.jpg,angry,26
10172_JoanLeslie_28_f.jpg,neutral,28
10173_JoanLeslie_29_f.jpg,neutral,29
10174_JoanLeslie_30_f.jpg,happy,30
10175_JoanLeslie_32_f.jpg,neutral,32
10176_JoanLeslie_33_f.jpg,neutral,33
10177_JoanLeslie_35_f.jpg,neutral,35
10178_JoanLeslie_36_f.jpg,neutral,36
10179_JoanLeslie_38_f.jpg,happy,38
1017_StephenHawking_65_m.jpg,angry,65
10180_JoanLeslie_45_f.jpg,neutral,45
10181_JoanLeslie_50_f.jpg,happy,50
10182_JoanLeslie_59_f.jpg,happy,59
10183_JoanLeslie_74_f.jpg,happy,74
10184_JoanLeslie_77_f.jpg,happy,77
10185_JoanLeslie_78_f.jpg,happy,78
10186_JoanLeslie_80_f.jpg,happy,80
10187_JoanLeslie_81_f.jpg,happy,81
10188_JoanLeslie_83_f.jpg,happy,83
