Image1,Image2,VGG-Face,VGG-Face Match,OpenFace,OpenFace Match,Facenet,Facenet Match,ArcFace,ArcFace Match
30601258@N03/landmark_aligned_face.2.11816644924_075c3d8d59_o.jpg,30601258@N03/landmark_aligned_face.2.10438008125_7d673b3b16_o.jpg,0.18111272765902098,0.2567253180590904,0.42661429991961053,0.3946588361715918,True,False,False,True
30601258@N03/landmark_aligned_face.2.10424815813_e94629b1ec_o.jpg,30601258@N03/landmark_aligned_face.2.10571000386_90e4070c7c_o.jpg,0.2606814880168372,0.3035572121384231,0.2839410549698682,0.4075914217700233,True,False,True,True
30601258@N03/landmark_aligned_face.2.11816644924_075c3d8d59_o.jpg,30601258@N03/landmark_aligned_face.2.11518638385_cac7193c86_o.jpg,0.19356087624884066,0.11465156874087756,0.38898347857687743,0.494971578768184,True,False,True,True
30601258@N03/landmark_aligned_face.2.11816644924_075c3d8d59_o.jpg,30601258@N03/landmark_aligned_face.2.9731074481_5821415708_o.jpg,0.30534346687587277,0.3207833771859071,0.30967098956627126,0.40002469846822286,True,False,True,True
30601258@N03/landmark_aligned_face.2.10424815813_e94629b1ec_o.jpg,30601258@N03/landmark_aligned_face.2.11624488765_9db0b93c94_o.jpg,0.1741450562439376,0.34005011334726165,0.40017901242662635,0.47181756935227226,True,False,False,True
30601258@N03/landmark_aligned_face.2.10424815813_e94629b1ec_o.jpg,30601258@N03/landmark_aligned_face.2.11167478633_afa18032b6_o.jpg,0.272543838157679,0.4499249591178145,0.31109593096585997,0.4471054502623013,True,False,True,True
30601258@N03/landmark_aligned_face.2.11816644924_075c3d8d59_o.jpg,30601258@N03/landmark_aligned_face.2.11431644464_5510e0b7e9_o.jpg,0.226282304675679,0.5354793755246074,0.6001931905255284,0.6822293517255037,True,False,False,False
30601258@N03/landmark_aligned_face.2.10424815813_e94629b1ec_o.jpg,30601258@N03/landmark_aligned_face.2.11816644924_075c3d8d59_o.jpg,0.225473061866463,0.1337042068878752,0.27744812689723986,0.3770647419327062,True,False,True,True
30601258@N03/landmark_aligned_face.2.11816644924_075c3d8d59_o.jpg,30601258@N03/landmark_aligned_face.2.10424815813_e94629b1ec_o.jpg,0.225473061866463,0.1337042068878752,0.27744812689723986,0.3770647419327062,True,False,True,True
30601258@N03/landmark_aligned_face.2.10424815813_e94629b1ec_o.jpg,30601258@N03/landmark_aligned_face.2.10438008125_7d673b3b16_o.jpg,0.11664092090185763,0.2243500232123289,0.34490262041442066,0.3389476628575432,True,False,True,True
