Image1,Image2,VGG-Face,VGG-Face Match,OpenFace,OpenFace Match,Facenet,Facenet Match,ArcFace,ArcFace Match
Zhu_Rongji/Zhu_Rongji_0003.jpg,Zhu_Rongji/Zhu_Rongji_0009.jpg,0.18692070663386562,0.3662058328937624,0.15378607294095714,0.25625624197332153,True,False,True,True
Zhu_Rongji/Zhu_Rongji_0003.jpg,Zhu_Rongji/Zhu_Rongji_0007.jpg,0.10642754825794398,0.14061767009237647,0.12963345209442145,0.1973834011632981,True,False,True,True
Zhu_Rongji/Zhu_Rongji_0009.jpg,Zhu_Rongji/Zhu_Rongji_0004.jpg,0.15670408697043903,0.21500880243691567,0.25017064427496216,0.2534476489998915,True,False,True,True
Zhu_Rongji/Zhu_Rongji_0003.jpg,Zhu_Rongji/Zhu_Rongji_0008.jpg,0.6394365796689733,0.7979443626906355,0.7477371441152068,1.0063215336910103,False,False,False,False
Zhu_Rongji/Zhu_Rongji_0003.jpg,Zhu_Rongji/Zhu_Rongji_0005.jpg,0.12420847543081293,0.3041264671565195,0.1567603279615325,0.20521079333217096,True,False,True,True
Zhu_Rongji/Zhu_Rongji_0003.jpg,Zhu_Rongji/Zhu_Rongji_0001.jpg,0.05984606999265063,0.274421329744454,0.07700629292430583,0.10861921639737071,True,False,True,True
Zhu_Rongji/Zhu_Rongji_0006.jpg,Zhu_Rongji/Zhu_Rongji_0001.jpg,0.12900677548279893,0.27187811068457424,0.13239308219743318,0.18830485552303133,True,False,True,True
Zhu_Rongji/Zhu_Rongji_0009.jpg,Zhu_Rongji/Zhu_Rongji_0001.jpg,0.13001473451187096,0.2745079310109042,0.17762670733431485,0.2924314390542171,True,False,True,True
Zhu_Rongji/Zhu_Rongji_0006.jpg,Zhu_Rongji/Zhu_Rongji_0002.jpg,0.16055226798722355,0.5056610391520058,0.14230850073185053,0.3444304203130448,True,False,True,True
Zhu_Rongji/Zhu_Rongji_0003.jpg,Zhu_Rongji/Zhu_Rongji_0004.jpg,0.19253162736956908,0.3014278451838789,0.20942633831938595,0.3005573686066908,True,False,True,True
